,Catalytic rate (per second),Concentration (M),Flux threshold,Number of angles
0,200,1e-06,0.001,167
1,200,1.2589254117941661e-06,0.001,181
2,200,1.584893192461111e-06,0.001,194
3,200,1.995262314968875e-06,0.001,203
4,200,2.5118864315095717e-06,0.001,204
5,200,3.1622776601683665e-06,0.001,209
6,200,3.981071705534953e-06,0.001,221
7,200,5.0118723362726945e-06,0.001,234
8,200,6.3095734448018915e-06,0.001,235
9,200,7.943282347242757e-06,0.001,254
10,200,9.999999999999918e-06,0.001,263
11,200,1.258925411794156e-05,0.001,279
12,200,1.584893192461098e-05,0.001,290
13,200,1.9952623149688583e-05,0.001,304
14,200,2.5118864315095514e-05,0.001,319
15,200,3.16227766016834e-05,0.001,334
16,200,3.981071705534921e-05,0.001,344
17,200,5.011872336272653e-05,0.001,346
18,200,6.30957344480184e-05,0.001,350
19,200,7.943282347242692e-05,0.001,365
20,200,9.999999999999836e-05,0.001,369
21,200,0.00012589254117941455,0.001,378
22,200,0.0001584893192461085,0.001,387
23,200,0.00019952623149688422,0.001,393
24,200,0.0002511886431509531,0.001,400
25,200,0.0003162277660168315,0.001,399
26,200,0.0003981071705534888,0.001,395
27,200,0.0005011872336272613,0.001,407
28,200,0.0006309573444801788,0.001,409
29,200,0.0007943282347242627,0.001,420
30,200,0.0009999999999999755,0.001,424
31,200,0.0012589254117941352,0.001,427
32,200,0.001584893192461072,0.001,428
33,200,0.0019952623149688256,0.001,425
34,200,0.00251188643150951,0.001,439
35,200,0.0031622776601682888,0.001,440
36,200,0.0039810717055348555,0.001,452
37,200,0.005011872336272571,0.001,448
38,200,0.006309573444801736,0.001,443
39,200,0.007943282347242562,0.001,448
40,200,0.009999999999999672,0.001,445
41,200,0.01258925411794125,0.001,454
42,200,0.01584893192461059,0.001,457
43,200,0.019952623149688094,0.001,451
44,200,0.025118864315094896,0.001,459
45,200,0.03162277660168263,0.001,460
46,200,0.03981071705534823,0.001,447
47,200,0.0501187233627253,0.001,451
48,200,0.06309573444801685,0.001,455
49,200,0.07943282347242496,0.001,456
50,200,0.09999999999999591,0.001,458
51,200,0.12589254117941148,0.001,455
52,200,0.1584893192461046,0.001,450
53,200,0.1995262314968793,0.001,450
54,200,0.2511886431509469,0.001,452
55,200,0.31622776601682373,0.001,460
56,200,0.398107170553479,0.001,444
57,200,0.5011872336272489,0.001,448
58,200,0.6309573444801633,0.001,465
59,200,0.7943282347242432,0.001,451
60,200,1e-06,0.01,31
61,200,1.2589254117941661e-06,0.01,32
62,200,1.584893192461111e-06,0.01,32
63,200,1.995262314968875e-06,0.01,36
64,200,2.5118864315095717e-06,0.01,44
65,200,3.1622776601683665e-06,0.01,34
66,200,3.981071705534953e-06,0.01,45
67,200,5.0118723362726945e-06,0.01,60
68,200,6.3095734448018915e-06,0.01,58
69,200,7.943282347242757e-06,0.01,62
70,200,9.999999999999918e-06,0.01,75
71,200,1.258925411794156e-05,0.01,78
72,200,1.584893192461098e-05,0.01,92
73,200,1.9952623149688583e-05,0.01,101
74,200,2.5118864315095514e-05,0.01,106
75,200,3.16227766016834e-05,0.01,115
76,200,3.981071705534921e-05,0.01,122
77,200,5.011872336272653e-05,0.01,145
78,200,6.30957344480184e-05,0.01,159
79,200,7.943282347242692e-05,0.01,155
80,200,9.999999999999836e-05,0.01,161
81,200,0.00012589254117941455,0.01,181
82,200,0.0001584893192461085,0.01,187
83,200,0.00019952623149688422,0.01,197
84,200,0.0002511886431509531,0.01,217
85,200,0.0003162277660168315,0.01,230
