"Uniprot Acc" "PDB"
P00969 1A0I
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P11974 1A49
P11974 1A5U
P11974 1AQF
P11974 1F3W
P11974 1F3X
P11974 1PKN
P11974 2G50
P11974 3N25
P13000 1A82
P13000 1BS1
P13000 1BYI
