PDB ID,Chain ID,Entity ID,Uniprot Acc
"1A0I","A","1","P00969"
"1A49","C","1","P11974"
"1A49","F","1","P11974"
"1A49","A","1","P11974"
"1A49","D","1","P11974"
"1A49","G","1","P11974"
"1A49","B","1","P11974"
"1A49","E","1","P11974"
"1A49","H","1","P11974"
"1A5U","C","1","P11974"
"1A5U","F","1","P11974"
"1A5U","A","1","P11974"
"1A5U","D","1","P11974"
"1A5U","G","1","P11974"
"1A5U","B","1","P11974"
"1A5U","E","1","P11974"
"1A5U","H","1","P11974"
"1A82","A","1","P13000"
"1AQ2","A","1","P22259"
"1ASZ","A","2","P04802"
"1ASZ","S","1",""
"1ASZ","B","2","P04802"
"1ASZ","R","1",""
"1ATN","A","1","P68135"
"1ATN","D","2","P00639"
"1ATP","E","1","P05132"
"1ATP","I","2","P63248"
"1AYL","A","1","P22259"
"1B0U","A","1","P02915"
"1B38","A","1","P24941"
"1B39","A","1","P24941"
"1B76","A","1","P56206"
"1B76","B","1","P56206"
"1B8A","A","1","Q52428"
"1B8A","B","1","Q52428"
"1BCP","A","1","P04977"
"1BCP","I","3","P04979"
"1BCP","D","4","P0A3R5"
"1BCP","L","5","P04981"
"1BCP","G","1","P04977"
"1BCP","B","2","P04978"
"1BCP","J","4","P0A3R5"
"1BCP","E","4","P0A3R5"
"1BCP","H","2","P04978"
"1BCP","C","3","P04979"
"1BCP","K","4","P0A3R5"
"1BCP","F","5","P04981"
"1C0F","A","2","P07830"
"1C0F","S","1","P06396"
"1C0G","A","2","P07830"
"1C0G","S","1","P06396"
"1CSN","A","1","P40233"
"1D4X","A","1","P0DM41"
"1D4X","G","2","P06396"
"1D9Z","A","1","P56981"
"1DEJ","A","2","P07830"
"1DEJ","S","1","P06396"
"1DO0","C","1","P0A6H5"
"1DO0","F","1","P0A6H5"
"1DO0","A","1","P0A6H5"
"1DO0","D","1","P0A6H5"
"1DO0","B","1","P0A6H5"
"1DO0","E","1","P0A6H5"
"1DV2","A","1","P24182"
"1DV2","B","1","P24182"
"1DY3","A","1","P26281"
"1E24","A","1","P0A8N5"
"1E2Q","A","1","P23919"
"1E4G","T","1","Q9WZU0"
"1E79","G","3","P05631"
"1E79","B","1","P19483"
"1E79","E","2","P00829"
"1E79","H","4","P05630"
"1E79","C","1","P19483"
"1E79","F","2","P00829"
"1E79","I","5","P05632"
"1E79","A","1","P19483"
"1E79","D","2","P00829"
"1E8X","A","1","O02697"
"1EE1","A","1","P08164"
"1EE1","B","1","P08164"
"1EQY","A","2","P68135"
"1EQY","S","1","P06396"
"1ESQ","A","1","P39593"
"1ESQ","B","1","P39593"
"1ESQ","C","1","P39593"
"1ESV","A","2","P68135"
"1ESV","S","1","P06396"
"1F2U","D","2","P58301"
"1F2U","B","2","P58301"
"1F2U","C","1","P58301"
"1F2U","A","1","P58301"
"1F9A","C","1","Q57961"
"1F9A","F","1","Q57961"
"1F9A","A","1","Q57961"
"1F9A","D","1","Q57961"
"1F9A","B","1","Q57961"
"1F9A","E","1","Q57961"
"1FIN","B","2","P20248"
"1FIN","C","1","P24941"
"1FIN","A","1","P24941"
"1FIN","D","2","P20248"
"1FMW","A","1","P08799"
"1FQ1","A","1","Q16667"
"1FQ1","B","2","P24941"
"1G21","C","1","P07328"
"1G21","F","3","P00459"
"1G21","A","1","P07328"
"1G21","D","2","P07329"
"1G21","G","3","P00459"
"1G21","B","2","P07329"
"1G21","E","3","P00459"
"1G21","H","3","P00459"
"1G3I","S","1","P43773"
"1G3I","C","1","P43773"
"1G3I","K","2","P43772"
"1G3I","V","1","P43773"
"1G3I","F","1","P43773"
"1G3I","N","2","P43772"
"1G3I","Q","2","P43772"
"1G3I","A","1","P43773"
"1G3I","I","2","P43772"
"1G3I","T","1","P43773"
"1G3I","D","1","P43773"
"1G3I","L","2","P43772"
"1G3I","W","1","P43773"
"1G3I","G","2","P43772"
"1G3I","O","2","P43772"
"1G3I","R","2","P43772"
"1G3I","B","1","P43773"
"1G3I","J","2","P43772"
"1G3I","U","1","P43773"
"1G3I","E","1","P43773"
"1G3I","M","2","P43772"
"1G3I","X","1","P43773"
"1G3I","H","2","P43772"
"1G3I","P","2","P43772"
"1G5T","A","1","P31570"
"1G64","B","1","P31570"
"1G64","A","1","P31570"
"1GN8","A","1","P0A6I6"
"1GN8","B","1","P0A6I6"
"1GOL","A","1","P63086"
"1GTR","A","2","P00962"
"1GTR","B","1",""
"1GY3","C","1","P24941"
"1GY3","F","3",""
"1GY3","A","1","P24941"
"1GY3","D","2","P20248"
"1GY3","B","2","P20248"
"1GY3","E","3",""
"1GZ3","C","1","P23368"
"1GZ3","A","1","P23368"
"1GZ3","D","1","P23368"
"1GZ3","B","1","P23368"
"1GZ4","A","1","P23368"
"1GZ4","D","1","P23368"
"1GZ4","B","1","P23368"
"1GZ4","C","1","P23368"
"1H1V","A","1","P68135"
"1H1V","G","2","P06396"
"1H1W","A","1","O15530"
"1H3E","B","2",""
"1H3E","A","1","P83453"
"1H4Q","T","2",""
"1H4Q","A","1","Q5SM28"
"1H4Q","B","1","Q5SM28"
"1H8H","E","2","P00829"
"1H8H","C","1","P19483"
"1H8H","F","2","P00829"
"1H8H","A","1","P19483"
"1H8H","D","2","P00829"
"1H8H","G","3","P05631"
"1H8H","B","1","P19483"
"1HCK","A","1","P24941"
"1HI1","C","1","P11124"
"1HI1","A","1","P11124"
"1HI1","B","1","P11124"
"1HLU","P","2","P02584"
"1HLU","A","1","P60712"
"1HP1","A","1","P07024"
"1I7L","B","1","Q63537"
"1I7L","A","1","Q63537"
"1II0","A","1","P08690"
"1II0","B","1","P08690"
"1IJJ","A","1","P68135"
"1IJJ","B","1","P68135"
"1J09","A","1","P27000"
"1J1Z","C","1","P59846"
"1J1Z","A","1","P59846"
"1J1Z","D","1","P59846"
"1J1Z","B","1","P59846"
"1J21","D","1","P59846"
"1J21","B","1","P59846"
"1J21","C","1","P59846"
"1J21","A","1","P59846"
"1J7K","A","1","Q56313"
"1JI0","A","1","Q9X0M3"
"1JJV","A","1","P44920"
"1JKN","A","1","O04841"
"1JST","D","2","P20248"
"1JST","B","2","P20248"
"1JST","C","1","P24941"
"1JST","A","1","P24941"
"1JWA","B","1","P12282"
"1JWA","D","2","P30748"
"1KAX","A","1","P19120"
"1KAY","A","1","P19120"
"1KAZ","A","1","P19120"
"1KH2","C","1","P59846"
"1KH2","A","1","P59846"
"1KH2","D","1","P59846"
"1KH2","B","1","P59846"
"1KJ8","B","1","P33221"
"1KJ8","A","1","P33221"
"1KJ9","A","1","P33221"
"1KJ9","B","1","P33221"
"1KMN","C","1","P60906"
"1KMN","A","1","P60906"
"1KMN","D","1","P60906"
"1KMN","B","1","P60906"
"1KO5","B","1","P46859"
"1KO5","A","1","P46859"
"1KP2","A","1","P0A6E4"
"1KP3","A","1","P0A6E4"
"1KVK","A","1","P17256"
"1KXP","D","2","P02774"
"1KXP","A","1","P68135"
"1KYI","X","1","P43773"
"1KYI","H","2","P43772"
"1KYI","P","2","P43772"
"1KYI","S","1","P43773"
"1KYI","C","1","P43773"
"1KYI","K","2","P43772"
"1KYI","V","1","P43773"
